Order,Family,Genus,Species,Binomial,Species.Name,vertebrate,invertebrate,fibrousplant,nonfibrousplant,Adult_bodymass_g,Diet_category,Adult_bodymass_kg,Diet category based on prey type
Chiroptera,Phyllostomidae,Chiroderma,doriae,Chiroderma doriae,Chiroderma_doriae,0,0,0,1,19.9,Nonfibrous,0.0199,Herbivore
Chiroptera,Phyllostomidae,Chiroderma,villosum,Chiroderma villosum,Chiroderma_villosum,0,0,0,1,23.1,Nonfibrous,0.0231,Herbivore
Chiroptera,Phyllostomidae,Choeronycteris,mexicana,Choeronycteris mexicana,Choeronycteris_mexicana,0,0,0,1,16.6,Nonfibrous,0.0166,Herbivore
Chiroptera,Phyllostomidae,Ectophylla,alba,Ectophylla alba,Ectophylla_alba,0,0,0,1,5.8,Nonfibrous,0.0058,Herbivore
Chiroptera,Phyllostomidae,Enchisthenes,hartii,Enchisthenes hartii,Enchisthenes_hartii,0,0,0,1,16,Nonfibrous,0.016,Herbivore
Chiroptera,Phyllostomidae,Hylonycteris,underwoodi,Hylonycteris underwoodi,Hylonycteris_underwoodi,0,0,0,1,6.7,Nonfibrous,0.0067,Herbivore
Chiroptera,Phyllostomidae,Leptonycteris,curasoae,Leptonycteris curasoae,Leptonycteris_curasoae,0,0,0,1,23.4,Nonfibrous,0.0234,Herbivore
Chiroptera,Phyllostomidae,Lionycteris,spurrelli,Lionycteris spurrelli,Lionycteris_spurrelli,0,0,0,1,8.4,Nonfibrous,0.0084,Herbivore
Chiroptera,Phyllostomidae,Mesophylla,macconnelli,Mesophylla macconnelli,Mesophylla_macconnelli,0,0,0,1,6.9,Nonfibrous,0.0069,Herbivore
Chiroptera,Phyllostomidae,Musonycteris,harrisoni,Musonycteris harrisoni,Musonycteris_harrisoni,0,0,0,1,12.6,Nonfibrous,0.0126,Herbivore
Chiroptera,Phyllostomidae,Platyrrhinus,lineatus,Platyrrhinus lineatus,Platyrrhinus_lineatus,0,0,0,1,24.4,Nonfibrous,0.0244,Herbivore
Chiroptera,Phyllostomidae,Pygoderma,bilabiatum,Pygoderma bilabiatum,Pygoderma_bilabiatum,0,0,0,1,18.5,Nonfibrous,0.0185,Herbivore
Chiroptera,Phyllostomidae,Sturnira,aratathomasi,Sturnira aratathomasi,Sturnira_aratathomasi,0,0,0,1,48.6,Nonfibrous,0.0486,Herbivore
Chiroptera,Phyllostomidae,Sturnira,bidens,Sturnira bidens,Sturnira_bidens,0,0,0,1,17.6,Nonfibrous,0.0176,Herbivore
Chiroptera,Phyllostomidae,Sturnira,erythromos,Sturnira erythromos,Sturnira_erythromos,0,0,0,1,15.1,Nonfibrous,0.0151,Herbivore
Chiroptera,Phyllostomidae,Uroderma,bilobatum,Uroderma bilobatum,Uroderma_bilobatum,0,0,0,1,16.6,Nonfibrous,0.0166,Herbivore
Chiroptera,Phyllostomidae,Vampyressa,nymphaea,Vampyressa nymphaea,Vampyressa_nymphaea,0,0,0,1,13.7,Nonfibrous,0.0137,Herbivore
