Appendix S1. MammalDIET 2 dataset: dietary information for additional 1261 species not covered by Kissling et al. (2014).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binomial,Order,Family,Genus,Species,Animal,Vertebrate,Mammal,Bird,Herptile,Fish,Invertebrate,Plant,Seed,Fruit,Nectar,Root,Leaf,Woody,Herbaceous,Other,TrophicLevel,MammalEater,Insectivore,Frugivore,Granivore,Folivore,Bibliography,,,,,,,,,,,,,,,,,,,,,,,,,
Casinycteris argynnis,CHIROPTERA,PTEROPODIDAE,Casinycteris,argynnis,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Herbivore,0,0,1,0,0,"Burton and Burton. 1987. Rare Mammals of the World. The Stephen Greene Press, MA.",,,,,,,,,,,,,,,,,,,,,,,,,
Cryptochloris wintoni,AFROSORICIDA,CHRYSOCHLORIDAE,Cryptochloris,wintoni,1,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Burton and Burton. 1987. Rare Mammals of the World. The Stephen Greene Press, MA.",,,,,,,,,,,,,,,,,,,,,,,,,
Phaner furcifer,PRIMATES,CHEIROGALEIDAE,Phaner,furcifer,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Herbivore,0,0,0,0,0,"Burton and Burton. 1987. Rare Mammals of the World. The Stephen Greene Press, MA.",,,,,,,,,,,,,,,,,,,,,,,,,
Thoopterus nigrescens,CHIROPTERA,PTEROPODIDAE,Thoopterus,nigrescens,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Herbivore,0,0,1,0,0,"Burton and Burton. 1987. Rare Mammals of the World. The Stephen Greene Press, MA.",,,,,,,,,,,,,,,,,,,,,,,,,
Carollia sowelli,CHIROPTERA,PHYLLOSTOMIDAE,Carollia,sowelli,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,Omnivore,0,1,1,0,0,"Ceballos, G. 2014. Mammals of Mexico. Johns Hopkins University Press, Baltimore, Maryland.",,,,,,,,,,,,,,,,,,,,,,,,,
Corynorhinus mexicanus,CHIROPTERA,VESPERTILIONIDAE,Corynorhinus,mexicanus,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Ceballos, G. 2014. Mammals of Mexico. Johns Hopkins University Press, Baltimore, Maryland.",,,,,,,,,,,,,,,,,,,,,,,,,
Cratogeomys fulvescens,RODENTIA,GEOMYIDAE,Cratogeomys,fulvescens,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,Herbivore,0,0,0,0,0,"Ceballos, G. 2014. Mammals of Mexico. Johns Hopkins University Press, Baltimore, Maryland.",,,,,,,,,,,,,,,,,,,,,,,,,
Cratogeomys fumosus,RODENTIA,GEOMYIDAE,Cratogeomys,fumosus,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,Herbivore,0,0,0,0,0,"Ceballos, G. 2014. Mammals of Mexico. Johns Hopkins University Press, Baltimore, Maryland.",,,,,,,,,,,,,,,,,,,,,,,,,
Cryptotis goodwini,EULIPOTYPHLA,SORICIDAE,Cryptotis,goodwini,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Ceballos, G. 2014. Mammals of Mexico. Johns Hopkins University Press, Baltimore, Maryland.",,,,,,,,,,,,,,,,,,,,,,,,,
Cryptotis magna,EULIPOTYPHLA,SORICIDAE,Cryptotis,magna,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,Carnivore,0,1,0,0,0,"Ceballos, G. 2014. Mammals of Mexico. Johns Hopkins University Press, Baltimore, Maryland.",,,,,,,,,,,,,,,,,,,,,,,,,
Cryptotis mayensis,EULIPOTYPHLA,SORICIDAE,Cryptotis,mayensis,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Carnivore,0,1,0,0,0,"Ceballos, G. 2014. Mammals of Mexico. Johns Hopkins University Press, Baltimore, Maryland.",,,,,,,,,,,,,,,,,,,,,,,,,
Cryptotis merriami,EULIPOTYPHLA,SORICIDAE,Cryptotis,merriami,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Ceballos, G. 2014. Mammals of Mexico. Johns Hopkins University Press, Baltimore, Maryland.",,,,,,,,,,,,,,,,,,,,,,,,,
Cynomops mexicanus,CHIROPTERA,MOLOSSIDAE,Cynomops,mexicanus,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Ceballos, G. 2014. Mammals of Mexico. Johns Hopkins University Press, Baltimore, Maryland.",,,,,,,,,,,,,,,,,,,,,,,,,
Dipodomys gravipes,RODENTIA,HETEROMYIDAE,Dipodomys,gravipes,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,Herbivore,0,0,0,1,1,"Ceballos, G. 2014. Mammals of Mexico. Johns Hopkins University Press, Baltimore, Maryland.",,,,,,,,,,,,,,,,,,,,,,,,,
Dipodomys merriami,RODENTIA,HETEROMYIDAE,Dipodomys,merriami,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,Herbivore,0,0,0,1,1,"Ceballos, G. 2014. Mammals of Mexico. Johns Hopkins University Press, Baltimore, Maryland.",,,,,,,,,,,,,,,,,,,,,,,,,
Dipodomys nelsoni,RODENTIA,HETEROMYIDAE,Dipodomys,nelsoni,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,Omnivore,0,1,0,1,1,"Ceballos, G. 2014. Mammals of Mexico. Johns Hopkins University Press, Baltimore, Maryland.",,,,,,,,,,,,,,,,,,,,,,,,,
